CarID,Model,BodyStyle,Manufacturer,ManufacturerYear,EngineSize,OnRoadPrice,DealerID
C001,Sedan-X1,Sedan,Toyota,2022,1800,22000,D001
C002,Sedan-X2,Sedan,Toyota,2023,1800,23500,D001
C003,SUV-Y1,SUV,Hyundai,2021,2000,30000,D002
C004,SUV-Y2,SUV,Hyundai,2022,2200,32000,D002
C005,Truck-T1,Truck,Ford,2020,2500,28000,D003
C006,Truck-T2,Truck,Ford,2021,2600,29500,D003
C007,Hatch-H1,Hatchback,Maruti,2023,1200,12000,D004
C008,Hatch-H2,Hatchback,Maruti,2024,1300,14000,D004
C009,Sedan-Z1,Sedan,Honda,2022,1600,21000,D005
C010,Sedan-Z2,Sedan,Honda,2023,1600,22500,D005
C011,SUV-Q1,SUV,Kia,2021,2000,27000,D006
C012,SUV-Q2,SUV,Kia,2023,2200,31000,D006
C013,Sedan-M1,Sedan,Hyundai,2024,1500,20000,D002
C014,SUV-P1,SUV,Tata,2023,2000,18000,D007
C015,SUV-P2,SUV,Tata,2024,2200,19500,D007
C016,Hatch-R1,Hatchback,Renault,2022,1000,10000,D008
C017,Hatch-R2,Hatchback,Renault,2023,1200,11500,D008
C018,EV-E1,Hatchback,Tata,2024,Electric,15000,D007
C019,EV-E2,Sedan,Hyundai,2024,Electric,28000,D002
C020,Sedan-K1,Sedan,Skoda,2021,1800,24000,D009
C021,Sedan-K2,Sedan,Skoda,2022,1800,26000,D009
C022,SUV-F1,SUV,MG,2022,2200,33000,D010
C023,SUV-F2,SUV,MG,2023,2200,34500,D010
C024,Truck-G1,Truck,AshokLeyland,2021,3000,35000,D011
C025,Truck-G2,Truck,AshokLeyland,2022,3200,37000,D011
C026,Sedan-L1,Sedan,BMW,2021,2000,40000,D012
C027,Sedan-L2,Sedan,BMW,2023,2000,45000,D012
C028,SUV-X1,SUV,Audi,2021,2500,55000,D013
C029,SUV-X2,SUV,Audi,2023,2800,60000,D013
C030,Sedan-A1,Sedan,Mercedes,2022,2000,52000,D014
C031,Sedan-A2,Sedan,Mercedes,2024,2200,58000,D014
C032,SUV-G1,SUV,Jeep,2021,2400,42000,D015
C033,SUV-G2,SUV,Jeep,2022,2500,46000,D015
C034,Hatch-S1,Hatchback,Toyota,2023,1300,15000,D001
C035,Hatch-S2,Hatchback,Toyota,2024,1400,16500,D001
C036,EV-Q1,SUV,Kia,2024,Electric,32000,D006
C037,EV-Q2,SUV,Kia,2024,Electric,35000,D006
C038,Sedan-P1,Sedan,Tata,2023,1500,18000,D007
C039,Sedan-P2,Sedan,Tata,2024,1500,19000,D007
C040,Hatch-T1,Hatchback,Ford,2022,1000,13000,D003
C041,Hatch-T2,Hatchback,Ford,2023,1100,14500,D003
C042,SUV-R1,SUV,Renault,2022,1800,21000,D008
C043,SUV-R2,SUV,Renault,2023,2000,23000,D008
C044,Sedan-C1,Sedan,Citroen,2023,1500,17000,D016
C045,Sedan-C2,Sedan,Citroen,2024,1600,18500,D016
C046,SUV-C3,SUV,Citroen,2024,2000,22000,D016
C047,EV-H1,Hatchback,Honda,2024,Electric,26000,D005
C048,EV-H2,Hatchback,Honda,2024,Electric,28000,D005
C049,Truck-Z1,Truck,Tata,2022,3000,32000,D007
C050,Truck-Z2,Truck,Tata,2023,3200,35000,D007
C051,Sedan-J1,Sedan,Nissan,2021,1500,20000,D017
C052,Sedan-J2,Sedan,Nissan,2022,1600,21500,D017
C053,SUV-J3,SUV,Nissan,2023,2200,26000,D017
C054,SUV-H3,SUV,Honda,2021,2000,25000,D005
C055,SUV-H4,SUV,Honda,2023,2200,27000,D005
C056,Hatch-U1,Hatchback,Hyundai,2021,1200,11500,D002
C057,Hatch-U2,Hatchback,Hyundai,2022,1300,12500,D002
C058,Sedan-D1,Sedan,Datsun,2020,1200,10000,D018
C059,Sedan-D2,Sedan,Datsun,2021,1200,10500,D018
C060,SUV-D3,SUV,Datsun,2022,1500,14000,D018
C061,Sedan-Y3,Sedan,Toyota,2023,1800,25000,D001
C062,Sedan-Y4,Sedan,Toyota,2024,1800,26500,D001
C063,SUV-Y5,SUV,Toyota,2023,2200,30000,D001
C064,SUV-Y6,SUV,Toyota,2024,2400,33000,D001
C065,Truck-HX1,Truck,Tata,2021,3200,31000,D007
C066,Truck-HX2,Truck,Tata,2022,3400,33000,D007
C067,EV-K3,Hatchback,Kia,2024,Electric,28000,D006
C068,EV-K4,Sedan,Kia,2024,Electric,30000,D006
C069,Sedan-LX3,Sedan,Lexus,2022,2000,48000,D019
C070,Sedan-LX4,Sedan,Lexus,2023,2200,52000,D019
C071,SUV-LX5,SUV,Lexus,2024,2500,60000,D019
C072,SUV-V1,SUV,Volvo,2021,2400,50000,D020
C073,SUV-V2,SUV,Volvo,2022,2600,54000,D020
C074,Sedan-V3,Sedan,Volvo,2023,2000,45000,D020
C075,Hatch-V4,Hatchback,Volvo,2024,1500,30000,D020
C076,Sedan-R1,Sedan,Rover,2021,1800,32000,D021
C077,Sedan-R2,Sedan,Rover,2022,1800,34000,D021
C078,SUV-R3,SUV,Rover,2023,2200,38000,D021
C079,Truck-R4,Truck,Rover,2024,3500,42000,D021
C080,Sedan-O1,Sedan,Opel,2021,1600,21000,D022
C081,Sedan-O2,Sedan,Opel,2022,1600,22000,D022
C082,SUV-O3,SUV,Opel,2023,2200,26000,D022
C083,Hatch-O4,Hatchback,Opel,2024,1400,18000,D022
C084,Sedan-FX1,Sedan,Ferrari,2022,3000,150000,D023
C085,Sedan-FX2,Sedan,Ferrari,2023,3500,180000,D023
C086,SUV-FX3,SUV,Ferrari,2024,3800,200000,D023
C087,Hatch-FX4,Hatchback,Ferrari,2024,1800,120000,D023
C088,Sedan-AM1,Sedan,AstonMartin,2022,3200,160000,D024
C089,Sedan-AM2,Sedan,AstonMartin,2023,3500,185000,D024
C090,SUV-AM3,SUV,AstonMartin,2024,4000,220000,D024
C091,Hatch-AM4,Hatchback,AstonMartin,2024,2000,140000,D024
C092,Sedan-PM1,Sedan,Porsche,2021,3000,130000,D025
C093,Sedan-PM2,Sedan,Porsche,2022,3200,150000,D025
C094,SUV-PM3,SUV,Porsche,2023,3800,180000,D025
C095,Hatch-PM4,Hatchback,Porsche,2024,1800,100000,D025
C096,Sedan-MC1,Sedan,McLaren,2022,3200,200000,D026
C097,Sedan-MC2,Sedan,McLaren,2023,3500,220000,D026
C098,SUV-MC3,SUV,McLaren,2024,4000,250000,D026
C099,Hatch-MC4,Hatchback,McLaren,2024,2000,160000,D026
C100,Sedan-B1,Sedan,Bentley,2021,3000,180000,D027
C101,Sedan-B2,Sedan,Bentley,2022,3200,200000,D027
C102,SUV-B3,SUV,Bentley,2023,3800,250000,D027
C103,Hatch-B4,Hatchback,Bentley,2024,1800,150000,D027
C104,Sedan-RR1,Sedan,RollsRoyce,2022,3500,250000,D028
C105,Sedan-RR2,Sedan,RollsRoyce,2023,3800,300000,D028
C106,SUV-RR3,SUV,RollsRoyce,2024,4200,350000,D028
C107,Sedan-MS1,Sedan,Maserati,2022,3000,160000,D029
C108,Sedan-MS2,Sedan,Maserati,2023,3300,180000,D029
C109,SUV-MS3,SUV,Maserati,2024,3800,220000,D029
C110,Hatch-MS4,Hatchback,Maserati,2024,2000,140000,D029
